run_id,commit,timestamp,cell_type,corpus,format,chunking,chunk_size,generator,reranked,late_chunking,n_docs,n_chunks,n_questions,recall_at_5,mrr,ndcg_at_5,faithfulness,ragas_faithfulness,ragas_answer_relevance,factscore,selfcheck_consistency,indexing_tokens,retrieval_tokens,prompt_tokens,output_tokens,ctx_tokens_per_query,contextualization_overhead_pct,token_saving_vs_baseline_pct,latency_s_mean,latency_s_p95,cost_usd,quality,cost,latency,composite_score
bpolicy_json_fixed_256_gpt,26f217f,2026-07-30T22:55:45+00:00,core,bpolicy,json,fixed,256,gpt,0,0,36,1682,50,0.98,0.97,0.9726,0.965,0.9397,0.907,0.9387,0.9897,634547,1867.9,1913.8,23.6,1867.9,18.13,,1.02,1.5,0.74765,0.860273594115328,0.9294832644152308,0.92,0.8934559396029947
bpolicy_json_fixed_256_claude,26f217f,2026-07-30T22:55:45+00:00,core,bpolicy,json,fixed,256,claude,0,0,36,1682,50,0.98,0.97,0.9726,0.98,0.9545,0.8968,0.9772,0.9809,634547,1867.9,1913.8,72.7,1867.9,18.13,,1.76,2.58,0.74765,0.7734379001658128,0.9294832644152308,0.32800000000000007,0.7612380926282372
bpolicy_toon_fixed_256_gpt,26f217f,2026-07-30T23:35:25+00:00,core,bpolicy,toon,fixed,256,gpt,0,0,36,1682,50,0.98,0.97,0.9726,0.93,0.9213,0.9101,0.917,0.9905,639432,1819.0,1864.9,23.1,1819.0,18.13,-0.77,0.99,1.58,0.74245,0.8607021155820832,0.9343792865224225,0.9440000000000001,0.8989838080738894
bpolicy_toon_fixed_256_claude,26f217f,2026-07-30T23:35:25+00:00,core,bpolicy,toon,fixed,256,claude,0,0,36,1682,50,0.98,0.97,0.9726,0.97,0.9582,0.8972,0.9665,0.9771,639432,1819.0,1864.9,80.4,1819.0,18.13,-0.77,1.76,2.52,0.74245,0.7489612344807807,0.9343792865224225,0.32800000000000007,0.7507133675232381
bpolicy_yaml_fixed_256_gpt,26f217f,2026-07-31T00:31:33+00:00,core,bpolicy,yaml,fixed,256,gpt,0,0,36,1682,50,0.98,0.98,0.98,0.96,0.9463,0.9058,0.955,0.9877,634038,1895.4,1941.3,23.2,1895.4,18.13,0.08,1.14,1.8,0.76315,0.874383710921709,0.926729877749632,0.8240000000000001,0.8851473126732258
bpolicy_yaml_fixed_256_claude,26f217f,2026-07-31T00:31:33+00:00,core,bpolicy,yaml,fixed,256,claude,0,0,36,1682,50,0.98,0.98,0.98,0.98,0.9707,0.9002,0.9665,0.9814,634038,1895.4,1941.3,77.8,1895.4,18.13,0.08,1.68,2.66,0.76315,0.821982187039791,0.926729877749632,0.3920000000000001,0.7941465507322667
bpolicy_json_fixed_512_gpt,26f217f,2026-07-31T01:46:18+00:00,core,bpolicy,json,fixed,512,gpt,0,0,36,851,50,0.98,0.98,0.98,0.96,0.9383,0.9112,0.916,0.9872,560864,3295.9,3341.8,23.1,3295.9,9.33,,1.16,1.63,1.1224,0.8778463232929177,0.7865074041070517,0.808,0.8354007530839269
bpolicy_json_fixed_512_claude,26f217f,2026-07-31T01:46:18+00:00,core,bpolicy,json,fixed,512,claude,0,0,36,851,50,0.98,0.98,0.98,0.991,0.9335,0.8952,0.9407,0.9812,560864,3295.9,3341.8,80.0,3295.9,9.33,,1.87,2.79,1.1224,0.7491629139272343,0.7865074041070517,0.24,0.6858590484010852
bpolicy_toon_fixed_512_gpt,26f217f,2026-07-31T02:38:43+00:00,core,bpolicy,toon,fixed,512,gpt,0,0,36,851,50,0.98,0.96,0.9652,0.95,0.9133,0.9095,0.955,0.9836,563350,3219.8,3265.7,23.3,3219.8,9.33,-0.44,1.03,1.76,1.1124,0.8140430152476359,0.7941267759343993,0.912,0.8217658792008578
bpolicy_toon_fixed_512_claude,26f217f,2026-07-31T02:38:43+00:00,core,bpolicy,toon,fixed,512,claude,0,0,36,851,50,0.98,0.96,0.9652,0.965,0.9306,0.9013,0.9332,0.9775,563350,3219.8,3265.7,80.9,3219.8,9.33,-0.44,1.87,2.85,1.1124,0.7208760404459635,0.7941267759343993,0.24,0.6743823918000216
