corpus,metric,term,n,df,F,p,partial_eta_sq,effect_size,sig
bpolicy,ragas_faithfulness,C(format),36,2.0,0.3039741590592248,0.7403720526330665,0.022020771377620534,small,ns
bpolicy,ragas_faithfulness,C(chunking),36,2.0,2.859858148364213,0.07472779533318354,0.17480947098860777,large,ns
bpolicy,ragas_faithfulness,C(format):C(chunking),36,4.0,0.2566930383620749,0.9030104444230942,0.0366354051699803,small,ns
financebench,ragas_faithfulness,C(format),36,2.0,4.678700128609344,0.018005605388809468,0.2573726446615444,large,*
financebench,ragas_faithfulness,C(chunking),36,2.0,0.07400337813673154,0.9288562550109193,0.005451846155860452,negligible,ns
financebench,ragas_faithfulness,C(format):C(chunking),36,4.0,0.27370569066736533,0.8923452967118257,0.03896884390116848,small,ns
hotpotqa,ragas_faithfulness,C(format),36,2.0,0.23920833485367918,0.7889015383581391,0.017410634515735126,small,ns
hotpotqa,ragas_faithfulness,C(chunking),36,2.0,0.015223463363119907,0.9849002752514187,0.0011263937591847787,negligible,ns
hotpotqa,ragas_faithfulness,C(format):C(chunking),36,4.0,0.01966818012223377,0.9991935914725966,0.002905338873179252,negligible,ns
msmarco,ragas_faithfulness,C(format),36,2.0,1.6736741378885334,0.20643375257189492,0.11030117838825756,medium,ns
msmarco,ragas_faithfulness,C(chunking),36,2.0,0.3462548105830008,0.710427165900513,0.025007109526711185,small,ns
msmarco,ragas_faithfulness,C(format):C(chunking),36,4.0,0.196740752964103,0.9379297604082475,0.028321303465967944,small,ns
bpolicy,ragas_answer_relevance,C(format),36,2.0,0.06800703197827579,0.9344134148143988,0.005012308131768417,negligible,ns
bpolicy,ragas_answer_relevance,C(chunking),36,2.0,0.6353402504761649,0.5374910941524704,0.044946937195570004,small,ns
bpolicy,ragas_answer_relevance,C(format):C(chunking),36,4.0,0.20622112227940834,0.9327281739544044,0.029645567421501685,small,ns
financebench,ragas_answer_relevance,C(format),36,2.0,0.23875932285996912,0.7892496797891259,0.01737852139695734,small,ns
financebench,ragas_answer_relevance,C(chunking),36,2.0,0.17511176535271752,0.8403088439992574,0.01280514326737577,small,ns
financebench,ragas_answer_relevance,C(format):C(chunking),36,4.0,0.03859805187021603,0.9969822546000593,0.005685717665900475,negligible,ns
hotpotqa,ragas_answer_relevance,C(format),36,2.0,0.2480668799178422,0.782066685775118,0.01804376441317724,small,ns
hotpotqa,ragas_answer_relevance,C(chunking),36,2.0,0.016306741559661254,0.983835175069246,0.0012064495036592814,negligible,ns
